athlete_id,date,test_type,jump_height_cm,takeoff_velocity_m_s,rsi_mod
FP_001,2025-12-01,CMJ,30.9,2.46,0.294
FP_002,2025-12-01,CMJ,32,2.51,0.385
FP_003,2025-12-01,CMJ,33.2,2.55,0.38
FP_004,2025-12-01,CMJ,30.4,2.44,0.391
FP_005,2025-12-01,CMJ,23.1,2.13,0.315
FP_006,2025-12-01,CMJ,36.3,2.67,0.271
FP_007,2025-12-01,CMJ,33.2,2.55,0.371
FP_008,2025-12-01,CMJ,38.1,2.73,0.315
FP_009,2025-12-01,CMJ,24.2,2.18,0.424
FP_010,2025-12-01,CMJ,36.3,2.67,0.286
FP_011,2025-12-01,CMJ,30.3,2.44,0.406
FP_012,2025-12-01,CMJ,29.8,2.42,0.359
FP_001,2025-12-08,CMJ,30.8,2.46,0.346
FP_002,2025-12-08,CMJ,35.2,2.63,0.371
FP_003,2025-12-08,CMJ,32.9,2.54,0.234
FP_004,2025-12-08,CMJ,31.1,2.47,0.393
FP_005,2025-12-08,CMJ,24.6,2.2,0.355
FP_006,2025-12-08,CMJ,34.8,2.61,0.287
FP_007,2025-12-08,CMJ,35.2,2.63,0.306
FP_008,2025-12-08,CMJ,36.8,2.69,0.319
FP_009,2025-12-08,CMJ,27.1,2.31,0.353
FP_010,2025-12-08,CMJ,39.8,2.8,0.376
FP_011,2025-12-08,CMJ,30.9,2.46,0.338
FP_012,2025-12-08,CMJ,27.2,2.31,0.342
FP_001,2025-12-15,CMJ,35.6,2.64,0.368
FP_002,2025-12-15,CMJ,35.7,2.65,0.304
FP_003,2025-12-15,CMJ,34.6,2.6,0.395
FP_004,2025-12-15,CMJ,35.4,2.63,0.415
FP_005,2025-12-15,CMJ,21.9,2.08,0.423
FP_006,2025-12-15,CMJ,41.4,2.85,0.383
FP_007,2025-12-15,CMJ,39,2.77,0.312
FP_008,2025-12-15,CMJ,38.5,2.75,0.449
FP_009,2025-12-15,CMJ,33.9,2.58,0.291
FP_010,2025-12-15,CMJ,38.9,2.76,0.299
FP_011,2025-12-15,CMJ,29.7,2.41,0.31
FP_012,2025-12-15,CMJ,31.1,2.47,0.399
FP_001,2025-12-22,CMJ,31.6,2.49,0.387
FP_002,2025-12-22,CMJ,29.9,2.42,0.398
FP_003,2025-12-22,CMJ,34.1,2.59,0.384
FP_004,2025-12-22,CMJ,32.5,2.53,0.406
FP_005,2025-12-22,CMJ,20.4,2,0.257
FP_006,2025-12-22,CMJ,39.7,2.79,0.349
FP_007,2025-12-22,CMJ,34.5,2.6,0.335
FP_008,2025-12-22,CMJ,38.8,2.76,0.44
FP_009,2025-12-22,CMJ,29.2,2.39,0.366
FP_010,2025-12-22,CMJ,38.4,2.75,0.299
FP_011,2025-12-22,CMJ,27.1,2.31,0.44
FP_012,2025-12-22,CMJ,27.2,2.31,0.323
FP_001,2025-12-29,CMJ,35.8,2.65,0.392
FP_002,2025-12-29,CMJ,31.7,2.49,0.328
FP_003,2025-12-29,CMJ,39.2,2.77,0.314
FP_004,2025-12-29,CMJ,34.6,2.61,0.411
FP_005,2025-12-29,CMJ,28.2,2.35,0.411
FP_006,2025-12-29,CMJ,33.8,2.58,0.377
FP_007,2025-12-29,CMJ,36.3,2.67,0.32
FP_008,2025-12-29,CMJ,35.8,2.65,0.3
FP_009,2025-12-29,CMJ,28,2.35,0.31
FP_010,2025-12-29,CMJ,40.9,2.83,0.372
FP_011,2025-12-29,CMJ,31.3,2.48,0.329
FP_012,2025-12-29,CMJ,29.4,2.4,0.339
FP_001,2026-01-05,CMJ,37,2.69,0.43
FP_002,2026-01-05,CMJ,32.3,2.52,0.382
FP_003,2026-01-05,CMJ,35.7,2.65,0.353
FP_004,2026-01-05,CMJ,31.9,2.5,0.326
FP_005,2026-01-05,CMJ,23.9,2.17,0.32
FP_006,2026-01-05,CMJ,38.2,2.74,0.405
FP_007,2026-01-05,CMJ,39.2,2.77,0.336
FP_008,2026-01-05,CMJ,38.4,2.75,0.313
FP_009,2026-01-05,CMJ,31.7,2.49,0.375
FP_010,2026-01-05,CMJ,39.4,2.78,0.342
FP_011,2026-01-05,CMJ,32.5,2.53,0.443
FP_012,2026-01-05,CMJ,32.6,2.53,0.383
FP_001,2026-01-12,CMJ,39.5,2.78,0.404
FP_002,2026-01-12,CMJ,34.9,2.62,0.375
FP_003,2026-01-12,CMJ,38.6,2.75,0.386
FP_004,2026-01-12,CMJ,36.5,2.68,0.331
FP_005,2026-01-12,CMJ,23.5,2.15,0.404
FP_006,2026-01-12,CMJ,37.8,2.72,0.344
FP_007,2026-01-12,CMJ,38.2,2.74,0.27
FP_008,2026-01-12,CMJ,37.4,2.71,0.379
FP_009,2026-01-12,CMJ,28.5,2.36,0.403
FP_010,2026-01-12,CMJ,41.9,2.87,0.489
FP_011,2026-01-12,CMJ,33.5,2.56,0.43
FP_012,2026-01-12,CMJ,32.1,2.51,0.373
FP_001,2026-01-19,CMJ,37.6,2.72,0.3
FP_002,2026-01-19,CMJ,33.1,2.55,0.301
FP_003,2026-01-19,CMJ,36.9,2.69,0.361
FP_004,2026-01-19,CMJ,34.8,2.61,0.312
FP_005,2026-01-19,CMJ,23.6,2.15,0.339
FP_006,2026-01-19,CMJ,42.9,2.9,0.327
FP_007,2026-01-19,CMJ,38.3,2.74,0.365
FP_008,2026-01-19,CMJ,38.8,2.76,0.378
