athlete_id,date,test_type,jump_height_cm,takeoff_velocity_m_s,rsi_mod
FP_001,2025-12-01,CMJ,38,2.73,0.383
FP_002,2025-12-01,CMJ,38.8,2.76,0.316
FP_003,2025-12-01,CMJ,33.6,2.57,0.42
FP_004,2025-12-01,CMJ,28.4,2.36,0.317
FP_005,2025-12-01,CMJ,32.1,2.51,0.284
FP_006,2025-12-01,CMJ,27,2.3,0.308
FP_007,2025-12-01,CMJ,35.1,2.62,0.288
FP_008,2025-12-01,CMJ,32.8,2.54,0.357
FP_009,2025-12-01,CMJ,31.8,2.5,0.341
FP_010,2025-12-01,CMJ,33.5,2.56,0.352
FP_011,2025-12-01,CMJ,30.2,2.43,0.28
FP_012,2025-12-01,CMJ,31.2,2.47,0.37
FP_001,2025-12-08,CMJ,38.8,2.76,0.297
FP_002,2025-12-08,CMJ,38.2,2.74,0.335
FP_003,2025-12-08,CMJ,34.1,2.59,0.436
FP_004,2025-12-08,CMJ,33.1,2.55,0.306
FP_005,2025-12-08,CMJ,30.2,2.43,0.392
FP_006,2025-12-08,CMJ,30.7,2.46,0.295
FP_007,2025-12-08,CMJ,31.3,2.48,0.357
FP_008,2025-12-08,CMJ,34,2.58,0.346
FP_009,2025-12-08,CMJ,25.5,2.24,0.36
FP_010,2025-12-08,CMJ,31.2,2.47,0.415
FP_011,2025-12-08,CMJ,28.1,2.35,0.346
FP_012,2025-12-08,CMJ,27.6,2.32,0.325
FP_001,2025-12-15,CMJ,36.7,2.68,0.309
FP_002,2025-12-15,CMJ,34.8,2.61,0.426
FP_003,2025-12-15,CMJ,35,2.62,0.245
FP_004,2025-12-15,CMJ,32,2.51,0.427
FP_005,2025-12-15,CMJ,36.5,2.67,0.291
FP_006,2025-12-15,CMJ,25.7,2.25,0.408
FP_007,2025-12-15,CMJ,35.7,2.64,0.342
FP_008,2025-12-15,CMJ,32.4,2.52,0.376
FP_009,2025-12-15,CMJ,28.1,2.35,0.427
FP_010,2025-12-15,CMJ,34.7,2.61,0.407
FP_011,2025-12-15,CMJ,29,2.38,0.384
FP_012,2025-12-15,CMJ,26.8,2.29,0.387
FP_001,2025-12-22,CMJ,38.5,2.75,0.407
FP_002,2025-12-22,CMJ,35.7,2.64,0.414
FP_003,2025-12-22,CMJ,32.5,2.53,0.321
FP_004,2025-12-22,CMJ,32.4,2.52,0.39
FP_005,2025-12-22,CMJ,33.8,2.58,0.351
FP_006,2025-12-22,CMJ,29.5,2.4,0.407
FP_007,2025-12-22,CMJ,33.1,2.55,0.28
FP_008,2025-12-22,CMJ,31.9,2.5,0.332
FP_009,2025-12-22,CMJ,30.5,2.44,0.336
FP_010,2025-12-22,CMJ,33.3,2.56,0.277
FP_011,2025-12-22,CMJ,32.1,2.51,0.311
FP_012,2025-12-22,CMJ,30.9,2.46,0.411
FP_001,2025-12-29,CMJ,41.4,2.85,0.314
FP_002,2025-12-29,CMJ,39.7,2.79,0.324
FP_003,2025-12-29,CMJ,33,2.54,0.341
FP_004,2025-12-29,CMJ,37.7,2.72,0.387
FP_005,2025-12-29,CMJ,31.5,2.49,0.397
FP_006,2025-12-29,CMJ,26.6,2.28,0.393
FP_007,2025-12-29,CMJ,32.2,2.51,0.373
FP_008,2025-12-29,CMJ,34.4,2.6,0.342
FP_009,2025-12-29,CMJ,29.5,2.41,0.367
FP_010,2025-12-29,CMJ,32.8,2.54,0.36
FP_011,2025-12-29,CMJ,32.8,2.54,0.31
FP_012,2025-12-29,CMJ,32,2.51,0.402
FP_001,2026-01-05,CMJ,34.9,2.62,0.374
FP_002,2026-01-05,CMJ,38.5,2.75,0.414
FP_003,2026-01-05,CMJ,34.1,2.59,0.3
FP_004,2026-01-05,CMJ,37.6,2.71,0.402
FP_005,2026-01-05,CMJ,34.7,2.61,0.345
FP_006,2026-01-05,CMJ,26.7,2.29,0.318
FP_007,2026-01-05,CMJ,37.5,2.71,0.367
FP_008,2026-01-05,CMJ,31.5,2.49,0.308
FP_009,2026-01-05,CMJ,32.5,2.53,0.294
FP_010,2026-01-05,CMJ,36.7,2.68,0.415
FP_011,2026-01-05,CMJ,31.5,2.48,0.433
FP_012,2026-01-05,CMJ,31.5,2.49,0.422
FP_001,2026-01-12,CMJ,41.2,2.84,0.353
FP_002,2026-01-12,CMJ,39.8,2.79,0.383
FP_003,2026-01-12,CMJ,33.6,2.57,0.344
FP_004,2026-01-12,CMJ,32.1,2.51,0.411
FP_005,2026-01-12,CMJ,32.6,2.53,0.397
FP_006,2026-01-12,CMJ,29.9,2.42,0.413
FP_007,2026-01-12,CMJ,33.3,2.56,0.382
FP_008,2026-01-12,CMJ,32.3,2.52,0.391
FP_009,2026-01-12,CMJ,28.8,2.38,0.377
FP_010,2026-01-12,CMJ,33.9,2.58,0.341
FP_011,2026-01-12,CMJ,27,2.3,0.305
FP_012,2026-01-12,CMJ,31.6,2.49,0.38
FP_001,2026-01-19,CMJ,37.8,2.72,0.27
FP_002,2026-01-19,CMJ,41.1,2.84,0.35
FP_003,2026-01-19,CMJ,34.5,2.6,0.338
FP_004,2026-01-19,CMJ,32.8,2.54,0.456
FP_005,2026-01-19,CMJ,35.4,2.64,0.33
FP_006,2026-01-19,CMJ,28.9,2.38,0.407
FP_007,2026-01-19,CMJ,38,2.73,0.352
FP_008,2026-01-19,CMJ,34.2,2.59,0.432
FP_009,2026-01-19,CMJ,30.5,2.45,0.469
FP_010,2026-01-19,CMJ,33.8,2.58,0.322
FP_011,2026-01-19,CMJ,31.7,2.49,0.348
FP_012,2026-01-19,CMJ,32.6,2.53,0.305
FP_001,2026-01-26,CMJ,41.3,2.85,0.393
FP_002,2026-01-26,CMJ,38.8,2.76,0.393
FP_003,2026-01-26,CMJ,32,2.51,0.308
FP_004,2026-01-26,CMJ,35.7,2.65,0.378
FP_005,2026-01-26,CMJ,36.7,2.68,0.382
FP_006,2026-01-26,CMJ,34.9,2.62,0.344
FP_007,2026-01-26,CMJ,37.7,2.72,0.368
FP_008,2026-01-26,CMJ,34,2.58,0.408
FP_009,2026-01-26,CMJ,30.2,2.43,0.365
FP_010,2026-01-26,CMJ,35,2.62,0.3
FP_011,2026-01-26,CMJ,30.4,2.44,0.399
