athlete_id,date,test_type,jump_height_cm,takeoff_velocity_m_s,rsi_mod
FP_001,2025-12-01,CMJ,34.8,2.61,0.359
FP_002,2025-12-01,CMJ,32.5,2.53,0.291
FP_003,2025-12-01,CMJ,22.5,2.1,0.405
FP_004,2025-12-01,CMJ,29.8,2.42,0.373
FP_005,2025-12-01,CMJ,34.4,2.6,0.441
FP_006,2025-12-01,CMJ,29.8,2.42,0.361
FP_007,2025-12-01,CMJ,35.2,2.63,0.324
FP_008,2025-12-01,CMJ,39.7,2.79,0.4
FP_009,2025-12-01,CMJ,30.2,2.43,0.441
FP_010,2025-12-01,CMJ,36.4,2.67,0.313
FP_011,2025-12-01,CMJ,29.8,2.42,0.257
FP_012,2025-12-01,CMJ,29.3,2.4,0.333
FP_001,2025-12-08,CMJ,35.8,2.65,0.326
FP_002,2025-12-08,CMJ,40.7,2.83,0.355
FP_003,2025-12-08,CMJ,28.3,2.36,0.34
FP_004,2025-12-08,CMJ,27.1,2.31,0.347
FP_005,2025-12-08,CMJ,37.6,2.71,0.298
FP_006,2025-12-08,CMJ,31.2,2.47,0.291
FP_007,2025-12-08,CMJ,37.9,2.73,0.325
FP_008,2025-12-08,CMJ,39.4,2.78,0.375
FP_009,2025-12-08,CMJ,35.3,2.63,0.401
FP_010,2025-12-08,CMJ,35.8,2.65,0.377
FP_011,2025-12-08,CMJ,27.8,2.33,0.38
FP_012,2025-12-08,CMJ,29.1,2.39,0.39
FP_001,2025-12-15,CMJ,34.3,2.6,0.378
FP_002,2025-12-15,CMJ,37.4,2.71,0.364
FP_003,2025-12-15,CMJ,26.2,2.27,0.235
FP_004,2025-12-15,CMJ,28.9,2.38,0.396
FP_005,2025-12-15,CMJ,31.8,2.5,0.441
FP_006,2025-12-15,CMJ,30.9,2.46,0.436
FP_007,2025-12-15,CMJ,35.4,2.63,0.305
FP_008,2025-12-15,CMJ,36.9,2.69,0.349
FP_009,2025-12-15,CMJ,34.1,2.59,0.395
FP_010,2025-12-15,CMJ,35.8,2.65,0.28
FP_011,2025-12-15,CMJ,31.5,2.49,0.403
FP_012,2025-12-15,CMJ,30.4,2.44,0.375
FP_001,2025-12-22,CMJ,37.1,2.7,0.435
FP_002,2025-12-22,CMJ,40.1,2.8,0.365
FP_003,2025-12-22,CMJ,26.6,2.28,0.436
FP_004,2025-12-22,CMJ,28.2,2.35,0.328
FP_005,2025-12-22,CMJ,37.7,2.72,0.364
FP_006,2025-12-22,CMJ,32.2,2.51,0.33
FP_007,2025-12-22,CMJ,35,2.62,0.379
FP_008,2025-12-22,CMJ,39.2,2.77,0.347
FP_009,2025-12-22,CMJ,31,2.46,0.332
FP_010,2025-12-22,CMJ,36.4,2.67,0.347
FP_011,2025-12-22,CMJ,25.8,2.25,0.369
FP_012,2025-12-22,CMJ,31,2.47,0.406
FP_001,2025-12-29,CMJ,40.3,2.81,0.427
FP_002,2025-12-29,CMJ,36.6,2.68,0.386
FP_003,2025-12-29,CMJ,27.6,2.32,0.416
