athlete_id,date,session_type,minutes,distance_m,hid_m,peak_speed_m_s,accel_hi_count,decel_hi_count,player_load
GPS_001,2025-12-01,PRACTICE,61.5,2317,452,8.33,20,22,97.5
GPS_002,2025-12-01,PRACTICE,23.7,1061,150,8.2,18,21,72.9
GPS_003,2025-12-01,PRACTICE,33.8,1375,237,6.77,15,21,73.7
GPS_004,2025-12-01,PRACTICE,50.4,2619,389,7.46,17,15,83.9
GPS_005,2025-12-01,PRACTICE,36.4,2414,305,7.45,5,14,60.3
GPS_006,2025-12-01,PRACTICE,62.9,3299,338,7.09,1,20,72.9
GPS_007,2025-12-01,PRACTICE,35.2,1767,368,6.93,19,9,68.9
GPS_008,2025-12-01,PRACTICE,19.4,1474,257,7.82,23,24,91.7
GPS_009,2025-12-01,PRACTICE,41,1893,265,8.54,12,21,75.1
GPS_010,2025-12-01,PRACTICE,37.8,2031,395,7.78,24,18,93.2
GPS_011,2025-12-01,PRACTICE,40.5,1986,189,8.21,19,15,75.6
GPS_012,2025-12-01,PRACTICE,33.3,1432,195,6.75,24,22,88.2
GPS_001,2025-12-02,PRACTICE,34.8,2048,408,6.74,23,15,87.7
GPS_002,2025-12-02,PRACTICE,33.7,1583,260,7.83,14,19,71.8
GPS_003,2025-12-02,PRACTICE,37.7,2318,275,6.78,18,13,76.5
GPS_004,2025-12-02,PRACTICE,29.9,1444,182,7.63,16,13,62.5
GPS_005,2025-12-02,PRACTICE,53.7,2740,149,6.65,10,19,74.6
GPS_006,2025-12-02,PRACTICE,32.8,1440,229,7.19,17,19,74.1
GPS_007,2025-12-02,PRACTICE,55.4,2721,558,6.62,13,21,92.2
GPS_008,2025-12-02,PRACTICE,26.7,1509,302,7.36,20,15,75.1
GPS_009,2025-12-02,PRACTICE,50.8,1605,94,7.03,18,15,67.9
GPS_010,2025-12-02,PRACTICE,35.7,1498,328,8.36,16,25,84.7
GPS_011,2025-12-02,PRACTICE,43.4,2407,315,7.82,23,16,90.4
GPS_012,2025-12-02,PRACTICE,50,2048,148,7.5,18,20,81.2
GPS_001,2025-12-03,PRACTICE,32.4,2034,340,6.84,24,12,82.8
GPS_002,2025-12-03,PRACTICE,44.5,1861,326,7.89,2,6,38.8
GPS_003,2025-12-03,PRACTICE,41.5,1804,169,7.8,20,22,85.3
GPS_004,2025-12-03,PRACTICE,30.3,1516,210,7.02,7,15,53.4
GPS_005,2025-12-03,PRACTICE,48.1,2385,279,8.63,18,20,87.8
GPS_006,2025-12-03,PRACTICE,17.8,889,100,7.95,10,22,59.4
GPS_007,2025-12-03,PRACTICE,58.2,3310,292,8.28,15,14,83.9
GPS_008,2025-12-03,PRACTICE,54.6,3192,610,7.03,17,11,89.2
GPS_009,2025-12-03,PRACTICE,39.9,1332,175,8.25,23,19,80.7
GPS_010,2025-12-03,PRACTICE,37.5,2342,315,7.45,15,13,73.3
GPS_011,2025-12-03,PRACTICE,45.6,3040,462,7.3,23,13,95.9
GPS_012,2025-12-03,PRACTICE,36.9,1645,206,6.81,19,19,78.6
GPS_001,2025-12-04,PRACTICE,39.9,1306,194,5.73,10,16,56.9
GPS_002,2025-12-04,PRACTICE,44.4,1567,288,6.77,13,23,76.9
GPS_003,2025-12-04,PRACTICE,41,1329,74,7.3,0,12,33.2
GPS_004,2025-12-04,PRACTICE,60,3342,449,8.36,12,16,86.7
GPS_005,2025-12-04,PRACTICE,38.5,2276,294,7.76,17,30,100.6
GPS_006,2025-12-04,PRACTICE,32.8,2230,241,7.6,15,8,62.8
GPS_007,2025-12-04,PRACTICE,30.1,1683,258,7.59,11,8,51.8
GPS_008,2025-12-04,PRACTICE,36.1,2243,365,7.71,12,13,69.1
GPS_009,2025-12-04,PRACTICE,31.8,1482,199,7.59,16,15,66.3
GPS_010,2025-12-04,PRACTICE,51.9,2185,470,6.76,16,20,87.6
GPS_011,2025-12-04,PRACTICE,44.6,2467,332,8.56,3,7,48
GPS_012,2025-12-04,PRACTICE,40.9,2292,232,7.23,10,23,78.2
GPS_001,2025-12-05,PRACTICE,42.3,1300,248,8.71,15,21,73.2
GPS_002,2025-12-05,PRACTICE,32.5,2025,373,6.48,20,17,85.1
GPS_003,2025-12-05,PRACTICE,66.7,3072,403,7.03,4,14,67.8
GPS_004,2025-12-05,PRACTICE,50.5,2591,285,6.6,15,13,75
GPS_005,2025-12-05,PRACTICE,50.2,2102,144,7.5,8,16,60.6
GPS_006,2025-12-05,PRACTICE,43.8,2591,292,7.45,20,29,106.7
GPS_007,2025-12-05,PRACTICE,43.7,2123,510,7.96,13,18,80.5
GPS_008,2025-12-05,PRACTICE,49.1,1846,209,7.98,13,18,70.2
GPS_009,2025-12-05,PRACTICE,46.6,2586,372,7.57,11,3,56.2
GPS_010,2025-12-05,PRACTICE,50.2,1767,430,8.68,7,20,68.9
GPS_011,2025-12-05,PRACTICE,37.3,1885,304,8.03,8,13,57.9
GPS_012,2025-12-05,PRACTICE,55.4,2917,337,6.61,13,17,82.6
GPS_001,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_002,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_003,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_004,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_005,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_006,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_007,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_008,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_009,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_010,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_011,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_012,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_001,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_002,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_003,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_004,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_005,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_006,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_007,2025-12-07,OFF,0,0,0,NA,0,0,0
