athlete_id,date,session_type,minutes,distance_m,hid_m,peak_speed_m_s,accel_hi_count,decel_hi_count,player_load
GPS_001,2025-12-01,PRACTICE,42.9,2456,361,7.63,31,15,102.6
GPS_002,2025-12-01,PRACTICE,45.7,2306,539,9.08,0,12,54.5
GPS_003,2025-12-01,PRACTICE,36.6,2146,390,7.37,18,8,70.2
GPS_004,2025-12-01,PRACTICE,45,2274,239,7.67,18,24,91.7
GPS_005,2025-12-01,PRACTICE,59.5,3010,408,8.3,15,18,89.8
GPS_006,2025-12-01,PRACTICE,30.7,2176,297,7.58,16,26,92.2
GPS_007,2025-12-01,PRACTICE,37.8,2181,387,7.34,18,11,75
GPS_008,2025-12-01,PRACTICE,45.1,1266,248,7.14,17,15,66.9
GPS_009,2025-12-01,PRACTICE,45.9,2757,404,6.89,18,20,94.7
GPS_010,2025-12-01,PRACTICE,42.7,1936,468,8.34,26,19,98.6
GPS_011,2025-12-01,PRACTICE,45.6,2415,303,6.58,8,19,72.2
GPS_012,2025-12-01,PRACTICE,40.3,2687,253,7.61,15,18,82.7
GPS_001,2025-12-02,PRACTICE,44,3091,521,7.25,14,14,85.9
GPS_002,2025-12-02,PRACTICE,41.3,1310,245,6.36,16,14,64.2
GPS_003,2025-12-02,PRACTICE,51.6,1883,185,7.38,15,18,72.9
GPS_004,2025-12-02,PRACTICE,49.5,2824,437,8.32,9,13,72.2
GPS_005,2025-12-02,PRACTICE,41.8,1912,146,7.82,13,19,70.8
GPS_006,2025-12-02,PRACTICE,55.8,2650,324,6.88,17,4,66.1
GPS_007,2025-12-02,PRACTICE,43.8,2864,583,8,15,12,83.7
GPS_008,2025-12-02,PRACTICE,48.1,2291,553,7.82,19,17,90.7
GPS_009,2025-12-02,PRACTICE,44.4,1787,181,7.58,19,12,68.9
GPS_010,2025-12-02,PRACTICE,35.6,1755,416,7.74,13,18,74.4
GPS_011,2025-12-02,PRACTICE,49.7,3012,463,7.07,10,28,98.7
GPS_012,2025-12-02,PRACTICE,22.6,1242,131,6.94,13,27,75.7
GPS_001,2025-12-03,PRACTICE,31.8,1923,398,6.01,14,12,68.2
GPS_002,2025-12-03,PRACTICE,48.6,1648,303,6.87,8,17,61.6
GPS_003,2025-12-03,PRACTICE,55,2956,305,7.63,8,15,71.7
GPS_004,2025-12-03,PRACTICE,26.2,1565,204,7.52,9,12,52.2
GPS_005,2025-12-03,PRACTICE,54.4,3644,423,7.84,21,18,105.5
GPS_006,2025-12-03,PRACTICE,28,665,75,6.42,19,17,62.5
GPS_007,2025-12-03,PRACTICE,35.7,1583,162,7.26,20,14,70.9
GPS_008,2025-12-03,PRACTICE,28,1710,403,7.52,13,13,66.2
GPS_009,2025-12-03,PRACTICE,40.1,2325,214,6.87,10,18,70.6
GPS_010,2025-12-03,PRACTICE,42.5,2391,545,8.34,16,14,82.5
GPS_011,2025-12-03,PRACTICE,46.3,1651,171,6.49,22,6,62.8
GPS_012,2025-12-03,PRACTICE,37.6,1845,165,7.93,14,16,67.6
GPS_001,2025-12-04,PRACTICE,41.8,1246,298,7,17,15,67.9
GPS_002,2025-12-04,PRACTICE,45.2,2381,474,7.66,17,15,83.7
GPS_003,2025-12-04,PRACTICE,31.8,1338,128,8.61,20,15,69.1
GPS_004,2025-12-04,PRACTICE,34.6,1295,167,7.69,14,11,54.6
GPS_005,2025-12-04,PRACTICE,56.5,3065,402,7.52,17,11,82.7
GPS_006,2025-12-04,PRACTICE,15,1075,162,8.93,12,7,43.3
GPS_007,2025-12-04,PRACTICE,52,1866,384,7.22,18,22,88.3
GPS_008,2025-12-04,PRACTICE,53.1,2302,657,7.23,11,9,69.4
GPS_009,2025-12-04,PRACTICE,56.2,2834,424,7.35,16,16,86.9
GPS_010,2025-12-04,PRACTICE,37.8,1703,292,7.48,22,1,58.8
GPS_011,2025-12-04,PRACTICE,50.8,2111,233,8.01,15,14,70.4
GPS_012,2025-12-04,PRACTICE,44.3,2607,338,6.92,28,19,105
GPS_001,2025-12-05,PRACTICE,35.3,1480,246,8.08,14,10,56.9
GPS_002,2025-12-05,PRACTICE,47.8,2429,437,7.06,18,13,81.7
GPS_003,2025-12-05,PRACTICE,45.9,2881,301,5.88,8,22,81.3
GPS_004,2025-12-05,PRACTICE,37.9,2135,243,7.52,15,12,67.9
GPS_005,2025-12-05,PRACTICE,37.2,1325,145,7.1,8,22,61.9
GPS_006,2025-12-05,PRACTICE,39.2,2598,322,7.79,11,23,85
GPS_007,2025-12-05,PRACTICE,47.3,2749,519,8.66,9,22,87
GPS_008,2025-12-05,PRACTICE,41.5,2271,341,6.73,6,19,68.7
GPS_009,2025-12-05,PRACTICE,27.8,1422,217,6.05,14,22,73.6
GPS_010,2025-12-05,PRACTICE,45.2,1964,389,6.27,5,17,62.4
GPS_011,2025-12-05,PRACTICE,38.1,1672,157,5.32,14,26,80.6
GPS_012,2025-12-05,PRACTICE,50,2124,233,5.93,21,20,88.6
GPS_001,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_002,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_003,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_004,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_005,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_006,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_007,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_008,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_009,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_010,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_011,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_012,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_001,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_002,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_003,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_004,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_005,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_006,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_007,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_008,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_009,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_010,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_011,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_012,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_001,2025-12-08,PRACTICE,43.5,3439,796,7.43,15,11,93.3
GPS_002,2025-12-08,PRACTICE,40.9,2404,278,8.74,14,19,80.5
