athlete_id,date,session_type,minutes,distance_m,hid_m,peak_speed_m_s,accel_hi_count,decel_hi_count,player_load
GPS_001,2025-12-01,PRACTICE,35.4,1481,257,6.8,15,18,70.7
GPS_002,2025-12-01,PRACTICE,25.3,1391,296,7.23,9,21,66.3
GPS_003,2025-12-01,PRACTICE,16,733,92,7.2,14,22,63.6
GPS_004,2025-12-01,PRACTICE,53.7,2478,325,8.61,23,17,92.9
GPS_005,2025-12-01,PRACTICE,60.5,3524,400,8.81,9,12,76.7
GPS_006,2025-12-01,PRACTICE,55.2,2970,284,8.19,14,31,104.3
GPS_007,2025-12-01,PRACTICE,41.1,2467,455,6.49,26,15,97.5
GPS_008,2025-12-01,PRACTICE,43.5,1910,236,7.41,12,20,73
GPS_009,2025-12-01,PRACTICE,45.7,2442,387,7.1,24,15,92.6
GPS_010,2025-12-01,PRACTICE,38.5,1947,369,9.46,14,22,82.7
GPS_011,2025-12-01,PRACTICE,47.2,2984,374,7.6,12,22,90.2
GPS_012,2025-12-01,PRACTICE,50.7,2648,195,8.47,16,10,70.4
GPS_001,2025-12-02,PRACTICE,51.9,2293,614,6.72,14,17,84.8
GPS_002,2025-12-02,PRACTICE,54.2,3257,442,8.73,18,18,97.6
GPS_003,2025-12-02,PRACTICE,37.6,2180,328,8.31,16,12,72
GPS_004,2025-12-02,PRACTICE,45.5,2779,477,7.59,9,15,75.7
GPS_005,2025-12-02,PRACTICE,40.9,2220,288,7.86,10,12,62.4
GPS_006,2025-12-02,PRACTICE,28.5,1245,171,6.67,14,11,54.2
GPS_007,2025-12-02,PRACTICE,32.5,1198,233,7.04,12,17,61.3
GPS_008,2025-12-02,PRACTICE,39,2499,411,7.39,9,24,84.8
GPS_009,2025-12-02,PRACTICE,44.8,2792,261,8.21,17,11,76.4
GPS_010,2025-12-02,PRACTICE,54.9,2902,491,8.05,16,12,83.3
GPS_011,2025-12-02,PRACTICE,50.6,1385,224,7.76,15,31,88.4
GPS_012,2025-12-02,PRACTICE,28.9,1488,210,6.56,24,12,74.1
GPS_001,2025-12-03,PRACTICE,48.3,2952,639,7.06,17,18,98
GPS_002,2025-12-03,PRACTICE,32.5,1537,200,6.65,22,10,68.4
GPS_003,2025-12-03,PRACTICE,51.5,2870,316,7.18,10,23,86.1
GPS_004,2025-12-03,PRACTICE,32,1331,125,6.43,6,19,53.9
GPS_005,2025-12-03,PRACTICE,29,1677,236,6.6,13,22,75.2
GPS_006,2025-12-03,PRACTICE,42.9,1651,132,7.27,17,15,67.8
GPS_007,2025-12-03,PRACTICE,33.5,1563,286,5.67,25,0,60.3
GPS_008,2025-12-03,PRACTICE,53.2,3482,735,7.27,15,20,105.7
GPS_009,2025-12-03,PRACTICE,31,1554,213,7.07,16,27,85.4
GPS_010,2025-12-03,PRACTICE,47.4,3197,737,7.43,6,15,81.9
GPS_011,2025-12-03,PRACTICE,52.4,2949,445,5.8,25,21,109.6
GPS_012,2025-12-03,PRACTICE,38.3,2507,461,7.84,2,10,54.6
GPS_001,2025-12-04,PRACTICE,46.7,2421,578,8.6,16,22,95.7
GPS_002,2025-12-04,PRACTICE,35.8,2134,312,6.13,8,12,59.1
GPS_003,2025-12-04,PRACTICE,30.1,1747,191,6.33,23,13,76.2
GPS_004,2025-12-04,PRACTICE,17.5,848,131,8.78,17,13,56.7
GPS_005,2025-12-04,PRACTICE,32.3,2235,379,7.65,16,19,84.3
GPS_006,2025-12-04,PRACTICE,46.1,2854,321,7.17,18,17,89.1
GPS_007,2025-12-04,PRACTICE,42.8,1876,336,8.45,16,16,75.2
GPS_008,2025-12-04,PRACTICE,30.9,2009,267,6.4,11,8,55.3
GPS_009,2025-12-04,PRACTICE,41.2,1955,155,8.44,24,15,81.9
GPS_010,2025-12-04,PRACTICE,16.6,416,88,6.33,23,19,69.4
GPS_011,2025-12-04,PRACTICE,50.5,2534,364,8.89,20,26,103.4
GPS_012,2025-12-04,PRACTICE,32.9,1406,165,7.15,18,23,79.7
GPS_001,2025-12-05,PRACTICE,40.7,1962,440,7.83,22,20,93.6
GPS_002,2025-12-05,PRACTICE,46.3,2139,482,9.02,14,20,84.4
GPS_003,2025-12-05,PRACTICE,33.1,888,116,7.28,5,16,43.3
GPS_004,2025-12-05,PRACTICE,57.4,2710,378,7.58,13,11,72.6
GPS_005,2025-12-05,PRACTICE,45.2,2831,372,5.66,10,19,81.1
GPS_006,2025-12-05,PRACTICE,46.5,1619,159,7.32,17,12,63.7
GPS_007,2025-12-05,PRACTICE,50.5,3421,799,8.04,8,16,90.2
GPS_008,2025-12-05,PRACTICE,51.7,3543,814,7.98,18,28,124.8
GPS_009,2025-12-05,PRACTICE,47.7,2031,159,6.97,18,9,64.8
GPS_010,2025-12-05,PRACTICE,66.9,5123,974,6.6,22,12,126.6
GPS_011,2025-12-05,PRACTICE,35.7,1461,184,7.47,22,20,82.2
GPS_012,2025-12-05,PRACTICE,58.4,3153,280,9.1,11,22,88
GPS_001,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_002,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_003,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_004,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_005,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_006,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_007,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_008,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_009,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_010,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_011,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_012,2025-12-06,OFF,0,0,0,NA,0,0,0
GPS_001,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_002,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_003,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_004,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_005,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_006,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_007,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_008,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_009,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_010,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_011,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_012,2025-12-07,OFF,0,0,0,NA,0,0,0
GPS_001,2025-12-08,PRACTICE,50,2859,375,6.07,8,8,62
GPS_002,2025-12-08,PRACTICE,26.2,1427,210,7.65,25,23,91.5
GPS_003,2025-12-08,PRACTICE,35.8,1908,235,6.65,24,18,88
GPS_004,2025-12-08,PRACTICE,38.3,1235,111,8.12,17,1,42.1
GPS_005,2025-12-08,PRACTICE,49.3,2883,194,6.94,16,15,80.2
GPS_006,2025-12-08,PRACTICE,25.6,1207,182,8.16,7,14,48.1
GPS_007,2025-12-08,PRACTICE,34.9,1941,349,6.54,2,9,44.6
GPS_008,2025-12-08,PRACTICE,49,3345,796,6.67,26,18,119.4
GPS_009,2025-12-08,PRACTICE,52,2656,324,7.3,5,14,63.1
GPS_010,2025-12-08,PRACTICE,45.1,2640,525,7.99,27,11,96.5
GPS_011,2025-12-08,PRACTICE,59.7,2689,387,7.91,18,26,102.6
GPS_012,2025-12-08,PRACTICE,16.7,1120,82,7.07,11,18,56.8
GPS_001,2025-12-09,PRACTICE,44.4,2998,559,6.72,16,4,74
GPS_002,2025-12-09,PRACTICE,41.3,2502,548,8.05,7,23,83.7
GPS_003,2025-12-09,PRACTICE,31.5,1916,244,7.42,15,15,70.3
