athlete_id,date,steps,active_minutes,load_proxy,symmetry_proxy,impact_proxy
WR_001,2025-12-01,9446,64,119.9,0.98,1.15
WR_002,2025-12-01,7528,126,63.7,0.926,1.1
WR_003,2025-12-01,10858,104,39.7,0.923,1.1
WR_004,2025-12-01,9992,80,122,1,0.93
WR_005,2025-12-01,7553,143,43.3,1,1.26
WR_006,2025-12-01,6654,96,130.8,0.945,1.05
WR_007,2025-12-01,7131,89,119.8,0.942,1.2
WR_008,2025-12-01,6492,72,92.2,0.98,0.85
WR_009,2025-12-01,8036,126,64.1,0.928,1.08
WR_010,2025-12-01,6795,106,78.9,0.946,0.88
WR_011,2025-12-01,8536,114,99.2,1,1.36
WR_012,2025-12-01,6637,90,100.2,0.953,1.04
WR_001,2025-12-02,10925,91,66.2,0.942,1.05
WR_002,2025-12-02,9704,62,115.2,0.983,0.67
WR_003,2025-12-02,6547,82,135.9,0.927,0.7
WR_004,2025-12-02,9092,101,130.4,0.968,1.01
WR_005,2025-12-02,12166,95,132.4,0.937,0.95
WR_006,2025-12-02,12736,125,105.7,0.944,1.07
WR_007,2025-12-02,10043,77,146.9,0.941,1.09
WR_008,2025-12-02,9086,104,100.1,0.967,1.1
WR_009,2025-12-02,8931,95,137.4,0.955,1.14
WR_010,2025-12-02,11511,123,125.9,0.982,1.09
WR_011,2025-12-02,9810,129,99.3,0.96,1.04
WR_012,2025-12-02,6983,119,106.3,0.947,1.13
WR_001,2025-12-03,7742,107,81.5,0.925,0.96
WR_002,2025-12-03,6391,91,156.3,0.955,1.1
WR_003,2025-12-03,8822,98,130.7,0.935,1.08
WR_004,2025-12-03,8691,114,143.3,0.958,0.72
WR_005,2025-12-03,13088,61,137.9,0.968,1.03
WR_006,2025-12-03,5656,56,108.8,0.977,0.97
WR_007,2025-12-03,8398,78,98.6,0.942,0.76
WR_008,2025-12-03,9482,125,96.3,0.963,1.13
WR_009,2025-12-03,3879,111,133.3,0.936,0.97
WR_010,2025-12-03,7570,60,132.3,0.932,0.96
WR_011,2025-12-03,11201,171,100.9,0.969,0.91
WR_012,2025-12-03,6764,96,100,0.94,0.82
WR_001,2025-12-04,10518,104,77,0.996,1.08
WR_002,2025-12-04,9975,100,126.9,0.946,1.14
WR_003,2025-12-04,11800,94,115.7,1,1.17
WR_004,2025-12-04,7273,111,73.9,0.909,1.1
WR_005,2025-12-04,8943,119,116.2,0.923,1.02
WR_006,2025-12-04,6863,101,132.3,0.966,1.08
WR_007,2025-12-04,13471,98,90.5,0.996,1.08
WR_008,2025-12-04,9693,91,76.7,0.939,1.19
WR_009,2025-12-04,8732,118,142.3,0.936,0.87
WR_010,2025-12-04,8243,88,83.7,0.931,0.87
WR_011,2025-12-04,9106,68,26.2,0.921,1.02
WR_012,2025-12-04,5363,61,128.8,0.936,0.72
WR_001,2025-12-05,9366,83,105.2,0.948,1.08
WR_002,2025-12-05,10967,56,111.8,0.95,0.97
WR_003,2025-12-05,9654,98,180.4,0.989,1.37
WR_004,2025-12-05,7766,128,79.4,0.976,0.76
WR_005,2025-12-05,9076,55,89.5,0.972,1.12
WR_006,2025-12-05,9764,75,114.2,0.953,1.18
WR_007,2025-12-05,11446,91,110.6,0.983,1.18
WR_008,2025-12-05,5069,162,106.7,0.971,0.99
WR_009,2025-12-05,6323,124,52.4,0.95,1.06
WR_010,2025-12-05,8516,84,58.8,0.937,0.88
WR_011,2025-12-05,6514,94,77.8,0.964,0.92
WR_012,2025-12-05,8760,73,107,0.949,0.9
WR_001,2025-12-06,5854,43,97.1,0.981,1.11
WR_002,2025-12-06,4153,49,68,0.913,1.41
WR_003,2025-12-06,5555,50,51.7,0.93,1.05
WR_004,2025-12-06,3480,71,130,0.962,1.09
WR_005,2025-12-06,6548,49,82.6,0.931,0.89
WR_006,2025-12-06,7605,61,110.8,0.947,1.04
WR_007,2025-12-06,3920,60,88.9,0.964,1.04
WR_008,2025-12-06,4289,64,121.6,0.913,1.25
WR_009,2025-12-06,5373,36,92.7,0.949,0.78
WR_010,2025-12-06,5515,73,92.9,0.976,0.89
WR_011,2025-12-06,4648,55,79.3,0.962,0.85
WR_012,2025-12-06,4074,31,76.8,0.948,1.03
WR_001,2025-12-07,5939,69,53.5,0.985,0.75
