athlete_id,date,steps,active_minutes,load_proxy,symmetry_proxy,impact_proxy
WR_001,2025-12-01,6195,66,129.2,0.959,0.81
WR_002,2025-12-01,8230,77,78.2,0.952,1.3
WR_003,2025-12-01,6950,155,116.4,0.995,1.14
WR_004,2025-12-01,9658,65,100,0.943,0.83
WR_005,2025-12-01,5622,61,195.9,0.99,1.03
WR_006,2025-12-01,7031,50,146.4,0.999,1.31
WR_007,2025-12-01,6412,96,53.6,0.999,0.8
WR_008,2025-12-01,10694,98,151.3,0.999,1.08
WR_009,2025-12-01,7655,135,131.9,1,0.92
WR_010,2025-12-01,7988,76,97.4,0.985,0.75
WR_011,2025-12-01,9286,129,93.6,0.978,1.13
WR_012,2025-12-01,5049,93,48,0.908,0.8
WR_001,2025-12-02,9517,66,122.8,0.941,1.26
WR_002,2025-12-02,6946,59,114.9,0.952,0.76
WR_003,2025-12-02,10147,65,85.5,0.951,0.63
WR_004,2025-12-02,8424,114,101.7,0.943,1.08
WR_005,2025-12-02,7657,78,62.2,0.96,0.98
WR_006,2025-12-02,11283,87,85.3,0.908,1.09
WR_007,2025-12-02,8134,94,118.2,0.978,1.15
WR_008,2025-12-02,7764,117,103.6,0.947,1
WR_009,2025-12-02,8641,44,99.6,0.974,1.09
WR_010,2025-12-02,11076,65,150.3,0.907,1.06
WR_011,2025-12-02,6480,108,164.8,0.951,0.97
WR_012,2025-12-02,8662,123,120.5,0.985,0.83
WR_001,2025-12-03,7799,136,84.6,0.959,0.87
WR_002,2025-12-03,10015,61,63.5,0.881,0.98
WR_003,2025-12-03,9480,80,81.6,0.966,0.83
WR_004,2025-12-03,7144,121,84.7,0.97,0.92
WR_005,2025-12-03,7693,87,77.8,0.928,1.06
WR_006,2025-12-03,10529,92,171.1,0.943,0.9
WR_007,2025-12-03,10940,104,131.3,0.994,1.07
WR_008,2025-12-03,9280,108,125.8,0.993,0.96
WR_009,2025-12-03,4525,32,111,0.975,1.09
WR_010,2025-12-03,8919,77,83.3,0.922,1.33
WR_011,2025-12-03,7367,79,105.4,0.994,1.27
WR_012,2025-12-03,10205,112,117.8,1,0.91
WR_001,2025-12-04,9639,114,87.8,0.99,1.14
WR_002,2025-12-04,10302,61,96.3,1,1.03
WR_003,2025-12-04,5576,57,87.8,0.986,0.8
WR_004,2025-12-04,9693,48,127.3,0.925,1
WR_005,2025-12-04,11481,124,91.6,0.929,0.96
WR_006,2025-12-04,7546,46,80.4,0.983,0.95
WR_007,2025-12-04,6483,109,97.7,0.929,0.83
WR_008,2025-12-04,10324,104,67.9,0.92,0.93
WR_009,2025-12-04,11098,93,62.8,0.964,0.92
WR_010,2025-12-04,10343,100,57.3,0.925,0.87
WR_011,2025-12-04,10055,51,35.5,0.964,1.08
WR_012,2025-12-04,10808,81,83.4,0.957,1.18
WR_001,2025-12-05,10645,73,84.8,0.955,1.1
WR_002,2025-12-05,7263,108,89.5,0.983,0.92
WR_003,2025-12-05,9072,123,152.4,0.937,1.18
WR_004,2025-12-05,5794,84,77.7,0.986,0.97
WR_005,2025-12-05,7362,74,113.9,0.911,1.09
WR_006,2025-12-05,8318,73,114.7,0.978,0.86
WR_007,2025-12-05,9836,89,88,0.971,0.95
WR_008,2025-12-05,6249,59,128.8,0.976,1
WR_009,2025-12-05,6614,91,68.7,0.997,0.94
WR_010,2025-12-05,10426,96,81.9,0.982,0.78
WR_011,2025-12-05,6568,111,42,0.958,1.04
WR_012,2025-12-05,8861,116,140.1,0.975,1.08
WR_001,2025-12-06,5182,78,16.7,0.982,0.82
WR_002,2025-12-06,6013,76,96.1,0.973,1.03
WR_003,2025-12-06,5420,54,107.9,1,0.7
WR_004,2025-12-06,5130,20,114.3,0.929,0.92
WR_005,2025-12-06,5681,50,121.7,0.983,0.98
WR_006,2025-12-06,4068,25,86.4,0.972,1.04
WR_007,2025-12-06,4914,78,98.5,1,0.98
WR_008,2025-12-06,5251,26,110,0.954,0.99
WR_009,2025-12-06,7424,59,71.7,0.94,1.01
WR_010,2025-12-06,6847,22,53.6,0.901,1.07
WR_011,2025-12-06,5306,33,111.8,1,1.01
WR_012,2025-12-06,4793,67,138.1,0.914,1.05
WR_001,2025-12-07,5109,31,90.6,0.931,0.94
WR_002,2025-12-07,5177,39,99.3,0.961,1.28
WR_003,2025-12-07,5467,70,114.8,0.948,1.1
WR_004,2025-12-07,1567,37,133,0.917,1.24
WR_005,2025-12-07,5725,50,145.7,0.993,1.05
WR_006,2025-12-07,3628,76,127.9,0.995,0.89
WR_007,2025-12-07,6913,50,82.6,0.975,1.06
WR_008,2025-12-07,5834,59,104,0.926,1.23
WR_009,2025-12-07,3646,70,95.9,0.922,1.08
