athlete_id,date,steps,active_minutes,load_proxy,symmetry_proxy,impact_proxy
WR_001,2025-12-01,7225,116,118.9,0.95,1.05
WR_002,2025-12-01,8100,73,48.6,0.971,0.7
WR_003,2025-12-01,6273,95,109.2,0.968,1.01
WR_004,2025-12-01,9192,71,36.7,0.926,1.24
WR_005,2025-12-01,10452,111,98.7,0.962,1.09
WR_006,2025-12-01,8779,105,141.7,0.905,0.82
WR_007,2025-12-01,10837,62,106.8,1,0.85
WR_008,2025-12-01,8578,85,106,0.952,0.94
WR_009,2025-12-01,10019,99,110.3,0.985,0.84
WR_010,2025-12-01,10596,109,89,0.949,1.04
WR_011,2025-12-01,8448,77,159.4,0.943,1.24
WR_012,2025-12-01,6576,109,102.5,0.924,0.94
WR_001,2025-12-02,10063,102,123.4,0.918,0.89
WR_002,2025-12-02,9525,23,115.7,0.957,1.16
WR_003,2025-12-02,7524,53,139.4,0.951,0.99
WR_004,2025-12-02,10307,62,91,0.913,1.05
WR_005,2025-12-02,8238,86,90.2,0.949,1.08
WR_006,2025-12-02,8926,138,76.8,0.938,1.01
WR_007,2025-12-02,6101,71,112.1,0.923,1.29
WR_008,2025-12-02,13906,76,80.5,0.966,0.89
WR_009,2025-12-02,8428,69,40.2,0.934,1.1
WR_010,2025-12-02,9309,67,73,0.976,1.06
WR_011,2025-12-02,7843,70,105,1,0.86
WR_012,2025-12-02,6821,74,64.5,0.918,1.09
WR_001,2025-12-03,8367,67,49.3,0.995,1.21
WR_002,2025-12-03,9170,55,84.3,1,0.8
WR_003,2025-12-03,6590,105,130,0.998,1.32
WR_004,2025-12-03,12124,106,146.7,0.932,0.82
WR_005,2025-12-03,12364,74,69.5,1,1.05
WR_006,2025-12-03,6400,93,113,0.987,1.02
WR_007,2025-12-03,10499,116,137.3,0.976,0.92
WR_008,2025-12-03,9490,87,85.1,0.925,0.93
WR_009,2025-12-03,12732,93,123.3,0.933,1.11
WR_010,2025-12-03,6371,70,124.7,0.945,0.97
WR_011,2025-12-03,7452,121,110.2,0.912,0.93
WR_012,2025-12-03,7350,60,94.8,0.962,1.07
WR_001,2025-12-04,8944,132,131.6,0.983,1.03
WR_002,2025-12-04,9169,48,111.4,0.931,1.21
WR_003,2025-12-04,10207,90,98.8,0.982,0.98
WR_004,2025-12-04,10750,64,112.4,0.924,1.13
WR_005,2025-12-04,6962,115,86.7,0.949,1.08
WR_006,2025-12-04,11192,74,143.8,0.946,1.37
WR_007,2025-12-04,6394,110,86.9,0.92,1.01
WR_008,2025-12-04,11413,82,77.6,0.993,0.88
WR_009,2025-12-04,9615,81,77.1,0.924,0.92
WR_010,2025-12-04,7725,122,98.1,1,0.94
WR_011,2025-12-04,12717,4,128.6,0.887,1.42
WR_012,2025-12-04,9014,85,151.7,0.943,1.19
WR_001,2025-12-05,8436,115,114.5,0.889,0.82
WR_002,2025-12-05,7026,88,110.9,0.962,0.92
WR_003,2025-12-05,11410,77,66.4,0.975,0.91
WR_004,2025-12-05,9815,98,105.9,0.928,1.27
WR_005,2025-12-05,10459,97,150.4,0.966,1.08
WR_006,2025-12-05,8515,80,80.5,0.938,1.12
WR_007,2025-12-05,8587,104,95.4,1,1.07
WR_008,2025-12-05,6285,76,140.7,0.989,1.25
WR_009,2025-12-05,7875,82,67.4,0.944,1.01
WR_010,2025-12-05,9365,91,132.2,0.967,1
WR_011,2025-12-05,8860,88,93.2,0.959,0.94
WR_012,2025-12-05,11305,90,94.9,0.935,1.08
WR_001,2025-12-06,4371,65,63.3,0.957,1.05
WR_002,2025-12-06,4294,89,113.8,0.967,1.15
WR_003,2025-12-06,2778,54,94.1,0.944,0.97
WR_004,2025-12-06,5186,35,115.3,0.943,0.89
WR_005,2025-12-06,4952,68,131.4,0.935,0.83
WR_006,2025-12-06,5382,39,126.1,0.948,1.02
WR_007,2025-12-06,6636,0,145,0.991,1.03
WR_008,2025-12-06,3766,33,125.8,1,1.15
WR_009,2025-12-06,5006,48,84.2,1,1.07
WR_010,2025-12-06,4356,16,70,0.946,1.35
WR_011,2025-12-06,5017,56,92.3,1,1.15
WR_012,2025-12-06,4074,16,109.6,0.948,0.89
WR_001,2025-12-07,5169,27,95.9,0.93,0.81
WR_002,2025-12-07,4727,25,101.3,0.959,0.84
WR_003,2025-12-07,8012,51,152.4,0.949,1
WR_004,2025-12-07,4882,55,108,1,1.06
WR_005,2025-12-07,2321,30,99.7,0.972,0.91
WR_006,2025-12-07,2011,38,92.5,0.91,1.24
WR_007,2025-12-07,7352,54,71.5,0.94,1.22
WR_008,2025-12-07,5638,51,141.3,0.988,1.11
WR_009,2025-12-07,4599,69,100.8,0.969,0.86
WR_010,2025-12-07,4010,11,121.9,0.977,1.15
WR_011,2025-12-07,5960,69,96.8,0.978,0.87
WR_012,2025-12-07,4560,44,137.2,0.978,1.21
WR_001,2025-12-08,9177,68,119.7,0.949,1.14
WR_002,2025-12-08,8577,52,91.6,0.995,0.98
WR_003,2025-12-08,10723,73,103.8,0.912,0.94
WR_004,2025-12-08,8332,120,118.2,0.886,1.42
WR_005,2025-12-08,6733,23,89.7,0.9,0.86
WR_006,2025-12-08,6204,130,47.9,0.979,0.79
