athlete_id,date,steps,active_minutes,load_proxy,symmetry_proxy,impact_proxy
WR_001,2025-12-01,12866,112,112.3,1,1.02
WR_002,2025-12-01,8477,110,137.8,0.881,1.32
WR_003,2025-12-01,7950,127,111.1,0.971,1.12
WR_004,2025-12-01,6428,74,100.6,0.932,0.86
WR_005,2025-12-01,7565,61,24.3,0.978,0.87
WR_006,2025-12-01,9750,123,79.4,0.996,0.93
WR_007,2025-12-01,11500,67,100.8,1,1.15
WR_008,2025-12-01,6799,57,97.2,1,1.15
WR_009,2025-12-01,7728,116,100.4,0.978,0.82
WR_010,2025-12-01,9445,75,99.5,0.993,1.27
WR_011,2025-12-01,8656,127,150,0.92,1.09
WR_012,2025-12-01,11430,135,143.5,0.877,0.88
WR_001,2025-12-02,5896,102,100.6,0.992,0.75
WR_002,2025-12-02,6562,71,84.1,0.94,0.95
WR_003,2025-12-02,2612,100,101.1,0.966,0.89
WR_004,2025-12-02,7699,56,94.3,0.937,0.95
WR_005,2025-12-02,7376,129,71.1,0.985,0.84
WR_006,2025-12-02,8855,92,67.4,0.978,1.02
WR_007,2025-12-02,10197,79,121.3,0.926,1.2
WR_008,2025-12-02,5662,103,97.9,0.954,1.16
WR_009,2025-12-02,6502,79,85.6,0.971,1.15
WR_010,2025-12-02,9889,111,100,0.983,1.02
WR_011,2025-12-02,10024,30,119.3,0.945,0.95
WR_012,2025-12-02,10511,69,167.1,0.983,0.86
WR_001,2025-12-03,9866,107,77.2,0.975,0.75
WR_002,2025-12-03,9968,25,92.3,0.88,1.11
WR_003,2025-12-03,9862,34,135.7,0.915,0.91
WR_004,2025-12-03,6346,85,149.6,0.926,0.74
WR_005,2025-12-03,9257,92,123.8,0.955,1.02
WR_006,2025-12-03,13616,100,89.4,1,1.11
WR_007,2025-12-03,10409,89,156.9,0.937,1.11
WR_008,2025-12-03,9177,118,71.7,0.944,1.15
WR_009,2025-12-03,8740,120,82.8,0.935,0.93
WR_010,2025-12-03,9657,78,96.7,0.932,0.99
WR_011,2025-12-03,11847,112,150.1,0.936,0.87
WR_012,2025-12-03,10208,64,124,0.941,0.9
WR_001,2025-12-04,7522,92,94.1,0.932,0.97
WR_002,2025-12-04,10443,74,131.9,0.918,1.08
WR_003,2025-12-04,8881,91,88.8,0.978,1.17
WR_004,2025-12-04,6391,64,102.9,0.979,0.77
WR_005,2025-12-04,10581,79,100.7,0.941,1.12
WR_006,2025-12-04,8073,56,171.3,0.963,1.22
WR_007,2025-12-04,8147,104,57.1,0.991,1.31
WR_008,2025-12-04,10254,103,123.8,0.956,0.96
WR_009,2025-12-04,12056,103,85.7,0.963,1.09
WR_010,2025-12-04,9614,95,78.1,0.936,1.08
WR_011,2025-12-04,8398,64,98.8,0.997,1.23
WR_012,2025-12-04,9144,90,114.6,0.923,1.19
WR_001,2025-12-05,7974,86,95.5,1,1.07
WR_002,2025-12-05,8364,68,59.8,0.909,1.3
WR_003,2025-12-05,5829,108,95.9,0.96,1.08
WR_004,2025-12-05,8469,135,109.5,0.929,1.1
WR_005,2025-12-05,7133,74,83,0.99,0.98
WR_006,2025-12-05,7358,92,149.5,0.941,0.91
WR_007,2025-12-05,7924,78,90.5,0.984,1.11
WR_008,2025-12-05,9453,56,34.6,0.95,0.99
WR_009,2025-12-05,11651,99,61.7,0.949,0.83
WR_010,2025-12-05,7874,102,80.6,0.999,0.85
WR_011,2025-12-05,4421,119,77.3,0.857,1.16
WR_012,2025-12-05,8295,145,78.5,0.954,1.1
WR_001,2025-12-06,6135,0,28.4,0.99,0.67
WR_002,2025-12-06,5951,50,108.7,0.957,1.09
WR_003,2025-12-06,4667,74,104.9,0.945,1.09
WR_004,2025-12-06,4284,67,164.8,0.97,1.54
WR_005,2025-12-06,3205,31,98.4,0.969,1.33
WR_006,2025-12-06,7379,48,94.4,0.948,0.9
WR_007,2025-12-06,4368,39,70.4,0.977,1.17
WR_008,2025-12-06,5577,70,189.3,0.944,1.02
WR_009,2025-12-06,3345,69,128,0.951,0.97
WR_010,2025-12-06,4866,44,85.5,0.962,1.13
WR_011,2025-12-06,2389,29,93.6,0.958,1.16
WR_012,2025-12-06,4056,41,145.6,0.96,1.28
WR_001,2025-12-07,5604,30,77.4,0.965,1.05
WR_002,2025-12-07,7118,49,69.1,0.995,0.85
WR_003,2025-12-07,3364,48,115.9,0.965,0.79
WR_004,2025-12-07,6937,32,116.3,0.99,1.02
WR_005,2025-12-07,5297,43,73.5,1,1.09
WR_006,2025-12-07,5189,27,38.8,0.95,1.06
WR_007,2025-12-07,4696,51,55.7,0.956,0.72
WR_008,2025-12-07,4578,75,99.5,0.95,0.94
WR_009,2025-12-07,6014,24,50.5,0.991,0.82
WR_010,2025-12-07,4355,48,155.3,0.918,1.04
WR_011,2025-12-07,3877,39,85.3,0.996,0.95
WR_012,2025-12-07,7599,47,112.1,0.984,1.08
WR_001,2025-12-08,8185,59,78.1,0.965,0.94
WR_002,2025-12-08,5140,107,95.7,0.943,0.84
WR_003,2025-12-08,11610,123,124,1,0.9
WR_004,2025-12-08,7123,90,59.6,0.934,1
WR_005,2025-12-08,9973,103,76.8,0.991,0.87
WR_006,2025-12-08,11022,50,88.2,0.943,0.96
WR_007,2025-12-08,7146,131,107.8,1,0.72
WR_008,2025-12-08,6727,103,127.5,0.941,1.19
WR_009,2025-12-08,5947,144,49.8,0.953,1.01
WR_010,2025-12-08,11741,90,71.9,0.963,0.88
WR_011,2025-12-08,8537,135,102,0.986,0.99
WR_012,2025-12-08,7036,87,157.7,0.972,1.06
WR_001,2025-12-09,4942,95,123.3,0.934,0.88
WR_002,2025-12-09,7053,95,92.6,0.914,1.29
WR_003,2025-12-09,8679,69,81.7,0.939,1.21
WR_004,2025-12-09,7607,99,60.8,0.996,1.1
WR_005,2025-12-09,8691,114,77.8,0.88,1.19
WR_006,2025-12-09,11324,87,108.6,1,0.96
WR_007,2025-12-09,8573,69,48,0.99,0.87
WR_008,2025-12-09,11263,85,44.1,0.999,0.97
WR_009,2025-12-09,6325,143,88.3,0.964,1.09
WR_010,2025-12-09,10158,29,92,0.993,0.84
WR_011,2025-12-09,6811,77,135.3,0.996,1.3
WR_012,2025-12-09,9867,107,106.3,0.945,1.11
WR_001,2025-12-10,10235,58,99.2,0.926,1.15
WR_002,2025-12-10,7469,139,61.1,0.899,1.14
WR_003,2025-12-10,10569,61,103.6,0.96,1.17
WR_004,2025-12-10,7657,64,77.2,0.914,0.83
WR_005,2025-12-10,8999,108,86.4,0.978,0.95
WR_006,2025-12-10,9461,124,87.6,0.978,1.02
WR_007,2025-12-10,8525,65,96.7,1,1.23
WR_008,2025-12-10,6586,100,131.2,0.941,1.19
WR_009,2025-12-10,9448,33,75.9,1,1.06
WR_010,2025-12-10,11456,113,127.3,0.98,0.96
WR_011,2025-12-10,7957,165,133.6,0.942,1.02
WR_012,2025-12-10,11113,102,25.6,0.987,1.07
WR_001,2025-12-11,8785,41,75.4,1,0.84
WR_002,2025-12-11,10917,97,116,0.944,0.72
WR_003,2025-12-11,11235,101,86.7,0.966,1
WR_004,2025-12-11,10587,97,83.3,0.97,0.73
WR_005,2025-12-11,10128,85,108.9,0.948,1.09
WR_006,2025-12-11,6569,99,86.4,0.993,0.8
WR_007,2025-12-11,10660,16,68.8,0.974,0.89
WR_008,2025-12-11,5147,107,79.6,0.95,0.82
WR_009,2025-12-11,10423,71,93.6,0.916,0.97
WR_010,2025-12-11,10810,91,111.8,0.963,1.08
WR_011,2025-12-11,10924,82,56.7,0.98,1.17
WR_012,2025-12-11,10415,82,101.9,0.936,0.97
WR_001,2025-12-12,11336,81,58.9,0.961,1.19
WR_002,2025-12-12,8482,112,74.5,0.925,1.15
WR_003,2025-12-12,6840,107,142.3,1,0.99
WR_004,2025-12-12,8308,69,109.5,0.965,1.06
WR_005,2025-12-12,11612,147,84.7,0.957,0.83
WR_006,2025-12-12,11187,111,106.9,1,1.01
WR_007,2025-12-12,6984,106,105.2,0.975,1.43
WR_008,2025-12-12,9884,73,98.8,1,1.03
WR_009,2025-12-12,7395,100,61.3,0.962,0.96
WR_010,2025-12-12,6061,128,117.3,1,1.07
WR_011,2025-12-12,13707,132,103,0.974,1.06
WR_012,2025-12-12,8595,84,140.8,0.943,1.03
WR_001,2025-12-13,6576,54,61.9,0.976,1.03
WR_002,2025-12-13,5961,67,124.2,0.971,0.9
